,0
0,-170.3919634035683
1,-121.22657225944695
2,-224.11966818066517
3,-303.69203622423765
4,-389.8006623486331
5,-584.3912655095417
6,-829.6730454307403
7,-676.4146183991935
8,-997.5495185315358
9,-647.7657302157825
10,-417.5087890982617
11,-397.7895934754546
12,-337.29553927208326
13,-323.1561139194947
14,-142.3173316564891
15,-131.62380958523343
16,-143.6719759998924
17,-88.77808645652905
18,-162.4495345949122
19,-102.57267061854739
20,-121.8412631415535
21,-124.50009599415452
22,-112.0105046468409
23,-73.0348320971566
24,-143.43594785615616
25,-95.2949155776168
26,-98.21310735575165
27,-78.70691417061991
28,-222.10888568481937
29,-194.17719104989783
30,-36.04955352656667
31,-53.16577323504041
32,-72.41129874782821
33,18.240896980147355
34,-129.3323179429869
35,-302.26148637515945
36,-28.08780690896458
37,-74.52966124799023
38,-33.110445315120074
39,-81.15511639888823
40,-381.3701303602616
41,-1264.7304634589384
42,-408.46885926386335
43,-612.4423062524987
44,-518.5823500066908
45,-663.6904590424351
46,-394.42089685707174
47,-596.1246451395652
48,-605.473742346556
49,-364.626326256017
50,-662.718547145776
51,-327.0548568037915
52,-783.2935406925051
53,-228.5466153891949
54,-238.0092970914355
55,-581.6906756296511
56,-471.9966904292016
57,-325.8273289736061
58,-260.8708025630839
59,-431.0018910363556
60,-231.8757907104874
61,-222.8738677243909
62,-254.70060344097374
63,-69.58421802877007
64,-39.30028425153208
65,-533.7923189897699
66,-431.3174969981229
67,-238.48449978241229
68,-517.8380546960786
69,-210.7382858048888
70,-736.4117650429731
71,-343.91265470340375
72,-784.4641964885915
73,-234.1467771453474
74,-797.3242168565079
75,-711.6463344966791
76,-270.0714598436211
77,-122.41783292946837
78,-867.3339079371015
79,-1117.537423928849
80,-172.79625600549076
81,-1076.003034222459
82,-667.6303066739945
83,-636.2853038540262
84,-320.9102387665989
85,-609.6480705944371
86,-647.1864561418216
87,-198.33608008511771
88,-585.8614882720899
89,-67.07551275717461
90,-400.5540754166608
91,-178.67714216731622
92,-441.19374004636416
93,-230.1268368805584
94,-211.69859807064017
95,-171.5302488242543
96,-110.57755515513557
97,-401.818323964952
98,-221.81195762976802
99,-150.14131201246306
100,-234.11881324237413
101,-198.71448921775655
102,-193.80898009881156
103,-209.943965913674
104,-41.99440924335136
105,-117.67925613499224
106,-89.87243172523131
107,-219.74457829727413
108,-219.21265621559758
109,-186.1497224982799
110,-162.28946217288458
111,-90.92727916033306
112,-125.89973734131202
113,-212.61149026412937
114,-360.34491055451457
115,-202.10589835756684
116,-171.0588860785452
117,-292.69973168081515
118,-149.71898613661588
119,-552.3724773727564
120,-205.72560974203122
121,-290.18426262776154
122,-315.69968387862616
123,-238.79524156915116
124,18.486406769888575
125,-244.99684373526773
126,-397.7333001301097
127,-208.19377062492276
128,-583.1084462238755
129,-280.90044332364766
130,-555.8299274115824
131,-258.9104657735096
132,-310.2320947833276
133,-351.4252408378327
134,-517.4218462927888
135,-199.9656805534625
136,-367.0413108900171
137,-300.0995553441668
138,-308.90807904845263
139,-183.5359842976584
140,-319.0486443863159
141,-120.27031352547995
142,-302.0450461645971
143,-80.86795714428384
144,-593.4775415725574
145,-278.40753752486563
146,-217.70494119762913
147,-365.7718223944842
148,-303.35513313211385
149,-272.30503366540523
150,-0.6717009518525003
151,-329.8610023855855
152,-377.1636978956269
153,-205.79814974354667
154,-592.4065019101031
155,-315.04066465924313
156,-183.63728551574775
157,-65.56100062886628
158,-293.1509861087689
159,-120.02576747131779
160,-275.5914560273583
161,-121.0575948752385
162,-328.2488843058863
163,-257.68270148276076
164,-180.04280740203532
165,-528.6971000833861
166,-535.9369889559373
167,-246.52445381211584
168,-437.4410905881153
169,-234.29972774818415
170,-532.1822902947047
171,-374.1296100487429
172,-71.73004593487222
173,-40.94044677711497
174,-183.52428829832132
175,-360.7573723080992
176,-177.0245232723584
177,-473.78110442222334
178,-148.0064833901382
179,-221.22629087364982
180,-321.1595775170423
181,-131.8634378892375
182,-110.37949685822433
183,-371.25211607275156
184,-548.741293196441
185,-231.2616773385947
186,-54.894118426071884
187,-504.5592479870731
188,-162.21664068640555
189,-445.17157314093
190,-148.87886253149173
191,-407.46297812297365
192,-219.98518478026625
193,-511.92365851580973
194,-260.8385691437485
195,-212.28306046994584
196,-797.5647282391695
197,-551.5348182067391
198,-219.99737038109083
199,-206.7865429717528
200,-466.7554598899695
201,-148.38417149222067
202,-125.29364186069033
203,-201.21917959209458
204,-38.1878227904155
205,-424.82048744001895
206,-171.49828851802718
207,-189.27697094312526
208,-312.0463765529381
209,-120.74234594288761
210,-124.84527531691418
211,-834.4351069422495
212,-118.34934327539683
213,-38.61701756176164
214,-329.9020887899137
215,-295.3149956327899
216,-91.71497488156399
217,-156.40372415861873
218,-130.89860076695243
219,-147.21580492532468
220,-94.37529456178432
221,-230.40338236349527
222,-134.82141228548846
223,-204.13639109155076
224,-61.555285551039155
225,-266.85652389571385
226,-8.786870635924501
227,-172.6206988744241
228,-68.22235576568147
229,-210.1448261146458
230,-86.6553213596692
231,-43.85639028515383
232,-208.37057260352196
233,-252.58343062602808
234,-28.62073862854109
235,-162.08158614006658
236,-313.2475394598085
237,-151.92643587861053
238,-161.65437860662342
239,-445.45116367754446
240,-223.49481142612615
241,-129.4373934780072
242,-151.5768643845691
243,-245.78873012842652
244,-158.56288198359871
245,-172.80888147613456
246,-146.74919871698188
247,-114.10337290775064
248,121.5161121090194
249,-392.5168359554259
250,-2.29523705793234
251,-180.7607561318451
252,-51.20466435935423
253,-195.14019873460472
254,-93.91852661365861
255,-121.92759060035031
256,-126.039042104401
257,-20.791876287160633
258,-115.33492976131004
259,-27.24241250472413
260,-185.79030826499155
261,-154.47277541252032
262,2.1040660055930687
263,-65.82788562911455
264,-204.12521845928114
265,-294.5183064146114
266,-295.5818173932655
267,-128.06907625853134
268,-268.4439954570761
269,-49.63928932051944
270,-120.38234309331673
271,-174.46535243444703
272,-155.49950479356286
273,-125.2168400645543
274,-176.97177462262124
275,-309.1251891870198
276,-133.4087523664527
277,-122.99641116017287
278,-79.0918074289149
279,-227.71066119496857
280,-185.3503257048526
281,-153.68388498048196
282,-137.9044759842093
283,-106.66514251179834
284,-168.61853401513665
285,-211.04118256079244
286,-123.8959069370124
287,-181.3277766436937
288,-215.46300231747387
289,-152.26981183403095
290,-149.0720612671426
291,-77.75534480666464
292,-143.08583289845458
293,-173.52450763717584
294,-131.0976968748677
295,-136.89124806090757
296,-181.28508561414344
297,-115.7558177614758
298,-166.82585935707678
299,-203.88618398340373
300,-150.97032949293853
301,-137.44834318227225
302,-96.74664082150866
303,-146.90313443472826
304,-248.72177857279485
305,-182.36071349330365
306,-135.37145247721583
307,-200.73112038261223
308,-68.91283789047573
309,-233.33030550767916
310,-138.14995834159595
311,-208.30770838496466
312,-133.84830713127087
313,-208.2575697064791
314,-165.2892673595329
315,-161.74755497676628
316,-97.77018226971978
317,-184.13283056905698
318,-155.44238970437732
319,-215.33733322129663
320,-156.20462986152265
321,-178.82567503466282
322,-174.0074038923027
323,-164.11035900614127
324,-138.94251847895967
325,-141.93365285474692
326,-192.55006548261326
327,-159.63035803386637
328,-123.41579603592602
329,-77.66820706076933
330,-109.99289314916314
331,-139.76322920669125
332,-155.0653544618005
333,-186.75807983452614
334,-87.10325620722085
335,-152.49485165837314
336,-147.32169625559084
337,-120.48292679619888
338,-100.43423909642559
339,-205.51691880056006
340,-193.01185761056342
341,-226.83530977187365
342,-218.20916868339464
343,-241.91845601909816
344,-269.5087014567
345,-182.01110437057372
346,-218.60781848939803
347,-133.57409179911895
348,-285.0946736863689
349,-235.2065501506097
350,-99.72902441915858
351,-169.65366601740223
352,-223.97612814156176
353,-193.94257924143307
354,-302.6361041155915
355,-156.66540967919462
356,-197.63824427232979
357,-264.31491530598686
358,-136.26225791014602
359,-185.3799078143285
360,-179.3493798716969
361,-237.38872821251044
362,-216.00639323809548
363,-221.1813580159077
364,-241.3371602271405
365,-593.7248155763534
366,-93.94360832370894
367,-154.97718884930748
368,-137.33616908918444
369,-196.21197530199976
370,-527.0699933185846
371,-78.21426066464537
372,-181.98921852154564
373,-233.84551839244187
374,-141.54942365559626
375,-53.0147681440027
376,-719.1321584978351
377,-131.98469432340255
