,0
119,170.1571671221577
120,-200.81100855098668
121,-344.7087497789131
122,-76.78777129212199
123,-29.792090581928818
124,-44.77705179293172
125,-47.16146214997102
126,-45.537200139138875
127,-68.53969241377635
128,-102.59681611917176
129,-50.85875199855231
130,-97.38362596549715
131,-75.29282315005506
132,-70.40600572487838
133,-23.820104366212888
134,-17.236525975989025
135,-114.15795437714598
136,-89.6866009090438
137,218.9732569180086
138,-381.2830384408165
139,-302.9987854715714
140,-285.8472208409205
141,-69.7052417597521
142,-3.317171986045892
143,-57.17537751962683
144,-113.00983586765571
145,-97.48670250039214
146,-68.12429498510753
147,-133.50936216293442
148,-80.9792210110836
149,-42.85296413382808
150,-78.66175727927985
151,-142.6740944153234
152,-114.29419516779294
153,-44.71608828025758
154,-102.45853480314503
155,-66.97307886002491
156,-130.46181542651297
157,-158.58098868686238
158,-148.62332418004974
159,242.20192178080504
160,176.47282456212656
161,-206.48881465149844
162,-374.29370193773894
163,-79.70146279364008
164,262.8106059222109
165,-273.76451729049006
166,-118.99632425896985
167,-104.66471101043503
168,-77.04574911933754
169,-5.712460968640215
170,-131.12303545138408
171,-84.71827629337882
172,-41.758141536367475
173,-16.911181167732252
174,-66.9418992641732
175,-58.534417880243055
176,-74.5799254237312
177,-84.62035193605476
178,165.12296659803434
179,221.79069984244794
180,231.2170058288003
181,-18.78715494952081
182,205.6445683383326
183,-171.9566782974157
184,-258.0785495678242
185,-377.9183038892497
186,-36.66666368296445
187,-393.03366654940623
188,-72.85209302987178
189,226.75731900310979
190,32.91636938132933
191,-68.26849549516942
192,-297.09879733573155
193,236.31005117512763
194,171.51384847744657
195,-420.2103725452101
196,-92.7705502368723
197,-221.1643794829923
198,217.10780490574632
199,-331.15171473617477
200,-246.214567674368
201,-264.45578261185483
202,198.2371979662654
203,15.091681677937373
204,-423.6952858874877
205,254.92246379683957
206,-42.525269814553226
207,53.24785849522698
208,-143.8093858471114
209,-169.75445944119642
210,-430.8412004761193
211,222.0894730759515
212,65.14896686702252
213,-333.6886322580411
214,201.89132981543204
215,-245.98809060409266
216,49.56286928168524
217,-132.2031521331437
218,-225.95948293940276
219,275.08868277855174
220,206.6662458288775
221,-196.0256023737502
222,-191.33937726535333
223,-331.01813102505514
224,-33.27926860646761
225,7.815054112710925
226,-30.421293478843722
227,170.1195407477565
228,-92.10761726292101
229,-19.55381305937918
